position,link,title,source,date,snippet,thumbnail
17,https://www.npr.org/2025/05/10/nx-s1-5394399/u-s-and-china-begin-talks-amid-tensions-over-trumps-tariff-war,U.S. and China begin talks amid tensions over Trump's tariff war,NPR,"May 10, 2025","Officials from the United States and China began trade-related talks here Saturday, marking the first face-to-face conversations since President Trump placed...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08856102ec539a80a464a2b61fd982c711a7dcfee0c031d4adf4.jpeg
18,https://www.npr.org/2025/05/21/nx-s1-5405407/trump-tariff-target-home-depot-walmart,"Can retailers eat tariffs without price hikes? Walmart, Target, Lowe's face pressure",NPR,"May 21, 2025",Target on Wednesday became the latest retailer to lower its financial forecast for the year. It downplayed its plans for tariff-related price hikes.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885248903289bf2d51d779a60afbcd8495f026f7062efbab38f.jpeg
19,https://www.theguardian.com/us-news/2025/may/16/trump-us-tariff-rates-trading-partners,Trump says US will unilaterally set new tariff rates for scores of countries,The Guardian,"May 16, 2025",Trump says US will unilaterally set new tariff rates for scores of countries. President says letters revealing rates will be sent out within weeks.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088532f628d10eeaaf747bd7482aa86c26398d5b3b9d7823d2bc.jpeg
20,https://www.cnbc.com/2025/05/12/trump-china-trade-deal-tariff-pause-new-surge-in-freight-shipments.html,"Trump China trade deal: Tariff pause means new surge in freight shipments, and higher prices",CNBC,"May 12, 2025",The initial trade deal struck by the US and China leads importers to move forward with shipments during the 90-day pause on the steepest tariffs implemented by...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885a0c384047ed61bccebc4ca56e58a88086087867697beae28.jpeg
21,https://www.cnn.com/2025/05/09/business/trumps-trade-deal-luxury-cars-rolls-royce-bentley-jaguar,Trump floats 100% tariff on Barbies while his UK trade ‘deal’ shields super-luxury cars like Rolls-Royce,CNN,"May 9, 2025","Trump on Thursday hailed the fact that the US-UK framework for trade talks calls for lowering tariffs on UK cars, saying it wasn't his intention to persuade “...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885c52b2eaca85331f290a5d36ee3898e20930c04a324f90b47.jpeg
22,https://www.cnbc.com/2025/05/23/trump-recommends-50percent-tariff-on-european-union-starting-june-1.html,"Trump calls for 50% tariff on EU, says he's 'not looking for a deal' with bloc",CNBC,"May 23, 2025","Trump calls for 50% tariff on EU, says he's 'not looking for a deal' with bloc ... President Donald Trump on Friday said he is ""recommending a straight 50% Tariff...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08853c3b437a4641bcab12265e1351cc8d295352f1c85a1c9a15.jpeg
23,https://www.spglobal.com/marketintelligence/en/mi/research-analysis/us-prices-spike-higher-in-may-as-tariff-impact-hits-but-confidence-also-rebounds-may25.html,"US prices spike higher in May as tariff impact hits, but confidence also rebounds",S&P Global,"May 22, 2025","Prices rise at fastest rate since August 2022. Average prices charged for goods and services jumped higher in May, rising at a rate not witnessed since August...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885c00b3a8c083e06d527ceb5830a526fb9e2422139fc82e1c4.jpeg
24,https://www.jpmorgan.com/insights/markets/top-market-takeaways/tmt-the-next-chapter-diving-deeper-into-the-tariff-saga,The Next Chapter: Diving Deeper Into The Tariff Saga,J.P. Morgan,"May 30, 2025","It treats all assets equally, regardless of risk. There are discussions about excluding cash or treasuries from assets in the denominator to improve liquidity...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885545b3d5c626fa184ed7182f3a7e78b3664ee2195572355ab.jpeg
25,https://www.cbsnews.com/news/trump-apple-25-tariff-iphones/,Trump threatens to hit Apple with 25% tariff on iPhones made outside U.S.,CBS News,"May 23, 2025","Mr. Trump imposed sweeping tariffs in early April but later announced he would exempt high-tech products, including Apple's iPhone, which is primarily...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088556e7218dabe515dbe163ff403ad6567d65f41585cc24f84c.jpeg
26,https://www.cnn.com/2025/05/02/economy/de-minimis-packages-tariff,A massive tariff on millions of Americans’ purchases just went into effect — cue the chaos,CNN,"May 2, 2025","The de minimis exemption, as it's known, allowed shipments of goods worth $800 or less to come into the United States duty-free, often more or less skipping...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08854e46552c92efa3b540431e177235b24ce48c3ac4504e706c.jpeg
27,https://www.cfr.org/expert-brief/relief-and-realism-global-reactions-us-tariff-rulings,Relief and Realism: Global Reactions to U.S. Tariff Rulings,Council on Foreign Relations,"May 30, 2025",The US federal court ruling that President Trump had overstepped his authority on imposing tariffs marked a clear setback for the administration.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885b23b581beccf5de16d1119426673cbbdb1f1b8b7eedceb11.jpeg
28,https://www.reuters.com/world/india/gold-edges-lower-trump-extends-eu-tariff-deadline-2025-05-26/,Gold falls nearly 1% after Trump extends tariff deadline on EU goods,Reuters,"May 26, 2025",Gold prices fell nearly 1% on Monday after US President Donald Trump dropped his threat to impose 50% tariffs on goods from the European Union from June 1.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088589440e44c1526941d993a60f0f54c14a0666b1caeefde1ba.jpeg
29,https://www.reuters.com/world/china/us-cut-de-minimis-tariff-china-shipments-54-120-2025-05-13/,US slashes 'de minimis' tariff on small China parcels to as low as 30%,Reuters,"May 14, 2025","The US will cut the ""de minimis"" tariff for low-value shipments from China to as low as 30%, according to a White House executive order and industry experts.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08856460c543f249996bcb3a45f65fbdf464266fb59fac72373d.jpeg
30,https://www.aljazeera.com/news/2025/5/8/us-uk-trade-deal-how-are-trumps-global-tariff-talks-shaping-up,US-UK trade deal: How are Trump’s global tariff talks shaping up?,Al Jazeera,"May 8, 2025",The UK has agreed to lower tariffs on US goods to 1.8 percent from 5.1 percent and to provide greater access in UK markets for US goods. It has also agreed to...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885d1e783052364d3117a2a43bea58f1d94b8dbb79ed985a878.jpeg
31,https://www.aljazeera.com/news/2025/5/14/did-the-us-flinch-first-in-tariff-war-with-china,Did the US flinch first in tariff war with China?,Al Jazeera,"May 14, 2025","The United States and China reached an agreement to slash sky-high tariffs for 90 days. Though both sides claimed they could withstand a long trade war, they...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08856cc743bf586dfb17e7e30df5eeaa305c5239278c7ead4e4b.jpeg
32,https://www.piie.com/blogs/realtime-economics/2025/small-businesses-take-trumps-tariffs-court-can-they-win,Small businesses take Trump's tariffs to court. Can they win?,Peterson Institute for International Economics,"May 27, 2025",A lawsuit by 11 small importing businesses challenging the legality of many of President Donald Trump's recent series of tariffs.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08850e59595c5ed1c81d93b0ad744b868889bb9a9ddf8349c16e.jpeg
33,https://www.aljazeera.com/news/2025/5/16/has-india-offered-trump-zero-tariffs-what-we-know-and-why-it-matters,Has India offered Trump zero tariffs? What we know and why it matters,Al Jazeera,"May 16, 2025","United States President Donald Trump said on Thursday that India had offered a trade deal that proposed almost “no tariffs” on US goods, as the South Asian...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088507980dcc63e89f77027074a0c2790c6a4736501c06908bf5.jpeg
34,https://apnews.com/article/trump-films-hollywood-tariff-movies-415367dff6ae5bb7dc0871db5ac97d48,"Trump threatens a 100% tariff on foreign-made films, saying the movie industry in the US is dying",AP News,"May 5, 2025",Trump said he has authorized the Department of Commerce and the Office of the US Trade Representative to slap a 100% tariff “on any and all Movies coming into...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08853ec721862b449996951ad70d3e9e70eaabc2701513178485.jpeg
35,https://time.com/7286933/trump-trade-war-us-china-tariff-pause-businesses-costs-uncertainty/,How Businesses Are Navigating Trump’s Tariff Limbo,Time Magazine,"May 20, 2025",the crippling tariffs have already done some damage—and the uncertainty of what may come after three months has left businesses trying to adapt to a volatile...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08854c7e064e38899d24884bae82edcffe585cc1be54c51b569b.jpeg
36,https://www.reuters.com/business/apple-pay-25-tariff-if-phones-not-made-us-trump-says-2025-05-23/,"Trump threatens new tariffs on European Union and Apple, reigniting trade fears",Reuters,"May 23, 2025","US President Donald Trump threatened on Friday to ratchet up his trade war again, pushing for a 50% tariff on European Union goods starting June 1.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08859e5dfd8a5f3848b78242fdb359cbe67de1303ac27c6ce90f.jpeg
37,https://www.goldmansachs.com/insights/articles/how-global-trade-is-shifting-amid-rising-us-tariffs,How global trade is shifting amid rising US tariffs,Goldman Sachs,"May 2, 2025","Importers will pivot, and trade will pick back up, even if that means accepting higher costs for tariffed goods. There may be some permanent demand destruction,...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885fd1da64873fbda2f00cd710b4e1b4f6e796e03af2cb4659f.jpeg
38,https://www.cnn.com/2025/05/18/business/scott-bessent-trump-tariffs-china,Scott Bessent says tariff rates will return to ‘reciprocal’ levels if countries don’t reach trade deals with US,CNN,"May 18, 2025",Scott Bessent says tariff rates will return to 'reciprocal' levels if countries don't reach trade deals with US ... Tariff rates will soon return to a “reciprocal...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08852d4e61860019f1e52832e17c96bac731d816637015461ac2.jpeg
39,https://www.nytimes.com/2025/05/26/world/europe/tariffs-european-union-trump.html,"Europe Secured a Tariff Delay From Trump, but Can It Now Make a Deal?",The New York Times,"May 26, 2025","Mr. Trump announced in April that he would slap high across-the-board tariffs on many American trading partners, including 20 percent levies on the European...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885d2d83a4bad02ce9cb24007822e3550601dbf103ac482657c.jpeg
40,https://www.cnn.com/2025/05/23/economy/trump-eu-tariffs,Trump says he’s ‘not looking for a deal’ with the EU after threatening a 50% tariff,CNN,"May 24, 2025",Trump says he's 'not looking for a deal' with the EU after threatening a 50% tariff.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088541795d9cf0aad25bfda92b5315a3cd896e8a78dd6b6ace4c.jpeg
41,https://www.cnn.com/2025/05/25/business/trump-eu-tariff-delay,Trump delays 50% EU tariffs until July 9,CNN,"May 26, 2025","The US has historically run a trade deficit with the EU, peaking last year with nearly $236 billion in the red. Trump's 50% tariffs on EU products, which was...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885b4b30f8c319bcc519644812d5961129be14af00b72a39c75.jpeg
42,https://www.cnn.com/2025/05/16/business/trade-deals-trump,Trump says the clock is ticking for 150 countries to make a deal or face higher tariffs,CNN,"May 16, 2025",Trump acknowledged that trade negotiations are progressing too slowly to accommodate every country that wants to strike a new trade deal with the United States.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885e3d25cc30bff4232ae25eddc9fa95fb678d87c5423ac1d57.jpeg
43,https://www.cbsnews.com/news/trump-tariffs-china-trade-negotiations/,"Trump says 80% tariff on China ""seems right"" ahead of trade talks",CBS News,"May 9, 2025","The two nations, which trade billions in goods each year, have been in a tense stand-off since last month when Mr. Trump announced tariffs of up to 145% on...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088571e72b938b2ab4d0321a9eca548ef7f5ca787ef70eed9885.jpeg
44,https://uk.finance.yahoo.com/news/trump-says-hell-impose-25-tariffs-on-steel-aluminum-imports-reciprocal-duties-are-coming-soon-191201130.html,Trump tariffs live updates: India proposes steep US tariff cuts as nations race to cut deals,Yahoo,"May 28, 2025","President Trump announced Sunday that the US will postpone the implementation of a 50% tariff on European Union goods until July 9, 2025, providing a window for...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08858c5afabd92195237c700c0406944ce2d6a42ac3235abdba9.jpeg
45,https://www.axios.com/2025/05/08/trump-britain-trade-deal-tariffs-keir-starmer,"U.S., Britain strike first major trade deal of Trump tariff era",Axios,"May 8, 2025",It may serve as a model for the dozens of other countries negotiating with the White House.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088577a79eec2e2839be00153d442bb6c7d9e5adf38a538fff92.jpeg
46,https://abcnews.go.com/Business/president-trumps-tariffs-after-whiplash-court-rulings/story?id=122323318,What's next for President Trump's tariffs after whiplash court rulings?,ABC News,"May 30, 2025",The court rulings this week set off a legal battle over the tariffs that could stretch on for more than a year and make its way to the Supreme Court.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885ad8a2c66b83a3b21c004df54949def2cf509219a609204a4.jpeg
47,https://www.bloomberg.com/news/articles/2025-05-24/trump-s-new-tariff-threats-show-trade-uncertainty-here-to-stay,Trump’s New Tariff Threats Show Trade Uncertainty Here to Stay,Bloomberg,"May 24, 2025","Trump's penchant for out-of-nowhere threats, even on countries with which the US has trade agreements, sows doubt in the longevity of any deal he strikes.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885222aa4f107d58eb4ae59e47015b7611a7af0015cbbd47e75.jpeg
48,https://www.cnn.com/2025/05/05/media/movie-tariffs-trump-hollywood,Hollywood is shaken by Trump’s tariff plan for the movie industry,CNN,"May 5, 2025","The questions about Trump's movie tariffs are voluminous. Will movies made by American companies but set in other countries – say, a World War II historical...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08851294e3611e99b363cebf453e2181b154484044cb8aef9321.jpeg
49,https://www.bbc.com/news/live/c2dekzjg6gzt,Trump's tariffs can stay in place while court hears appeal,BBC,"May 29, 2025",The latest turn in Trump's tariffs drama saw a federal appeals court reinstate his tariffs plan - after the Court of International Trade on Wednesday ruled that...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08856b95e7c3cefac7560ae17bc757db55e22554a1a5e15594b8.jpeg
50,https://www.nbcnews.com/politics/economics/us-companies-surge-shipments-china-tariff-pause-rcna207076,U.S. companies surge shipments from China following tariff pause,NBC News,"May 16, 2025","While Chinese imports still face a 30% tariff, companies appear to be taking advantage of the 90-day pause on the higher tariffs to catch up on delayed...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885fd8e857e65e38db5f306979b09a1a7faeee1d6490cb7abc2.jpeg
51,https://reason.com/volokh/2025/05/28/we-won-our-tariff-case/,We Won Our Tariff Case!,Reason Magazine,"May 28, 2025","We Won Our Tariff Case! · The Court of International Trade just issued a decision striking down Trump's ""Liberation Day"" tariffs and other IEEPA tariffs.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885a87697f7153196e78245ab0c6d6116a30b3c35bdb062d238.jpeg
52,https://www.bbc.com/news/articles/cdd2mz719yvo,Trump agrees to extend EU trade talks after 50% tariff threat,BBC,"May 25, 2025",Trump agrees to extend EU trade talks after 50% tariff threat ... US President Donald Trump has agreed to extend a deadline to negotiate tariffs with the European...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08856fed1fdfa2ab2d7897177a5af2b3a58ae21952939172a36f.jpeg
53,https://www.bbc.com/news/articles/cx2epx15pj2o,Trump tariff ruling completely changes the global trade war,BBC,"May 29, 2025",Tariffs imposed by the Trump administration that were struck down by the trade court on Wednesday will remain in place while the case makes its way through the...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885cb28a3130bc5e4224af7c1bef7ca91580dcf776f6a556ff8.jpeg
54,https://www.nbcnews.com/business/business-news/us-trade-deficit-jumps-record-high-pre-tariff-import-rush-rcna205059,U.S. trade deficit jumps to record high on pre-tariff import rush,NBC News,"May 6, 2025","The U.S. trade deficit in goods and services soared to a record $140.5 billion in March. Year-to-date, the deficit has increased 92.6%, as companies and...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08852bee915fb59512f5d6de6c75c24f624b0188692440bc7b27.jpeg
55,https://www.newsweek.com/trump-touts-80-tariff-china-seems-right-2070130,Trump Touts 80% Tariff on China: 'Seems Right!',Newsweek,"May 9, 2025","What to Know. Trump's 145 percent tariff on China combines a 125 percent ""reciprocal"" rate designed to reflect Chinese trade barriers against the U.S., and a 20...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08850d4004dd3dc60410fbd9a6a25157b087cfee4d0ae87cd43c.jpeg
56,https://www.cnn.com/2025/05/30/business/trump-announces-50-percent-steel-tariff,Trump doubles steel tariffs to 50% in ‘major announcement’,CNN,"May 31, 2025","“It is my great honor to raise the Tariffs on steel and aluminum from 25% to 50%, effective Wednesday, June 4th. Our steel and aluminum industries are coming...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08853aa663cc4628b173fc3eaf8fb959a477b235ae060739fc19.jpeg
57,https://www.axios.com/2025/05/29/trump-tariffs-chaos,Trump tariff ruling threatens to pile chaos on top of chaos,Axios,"May 29, 2025","At least for now, it turns out the legal system is the biggest restraint on Trump's trade agenda.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08854e9b7bba3c8d6659062b851a1868061e144f0e3bd6e7955c.jpeg
58,https://www.nytimes.com/2025/05/04/business/trump-tariffs-movies.html,Trump Says He Will Put 100% Tariff on Movies Made Outside U.S.,The New York Times,"May 4, 2025","Trump Says He Will Put 100% Tariff on Movies Made Outside U.S.. Declaring foreign film production a national security threat, the president said he had asked...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885ca03da49f4fd74ef34275c1b4798f6b9dff200c8a517f2a1.jpeg
59,https://www.china-briefing.com/news/us-china-tariff-rates-2025/,US-China Tariff Rates - What Are They Now?,China Briefing,"May 23, 2025","A summary of US-China tariff rates in effect in 2025, including major trade actions and how different tariffs intersect.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08851ed39798ad07dc672701bf69dd9c7d54cfc0ce589befe9f9.jpeg
60,https://www.cnn.com/2025/05/04/media/movies-tariff-trump,Trump orders a 100% tariff on foreign movies,CNN,"May 5, 2025","Trump, in an evening post on his social media platform Truth Social, said he has instructed the Commerce Department and US Trade Representative to place a 100%...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08859b88091a98e7bc8b73f8eab7f2cef782b7350d70c01dc542.jpeg
61,https://www.bbc.com/news/articles/cp92r2kvk74o,US and UK agree deal slashing Trump tariffs on cars and metals,BBC,"May 8, 2025",US and UK agree deal slashing Trump tariffs on cars and metals ... The US has agreed to reduce import taxes on a set number of British cars and allow some steel...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08851daed3050ce353d671cd678ce50ddbb68a634148b823287b.jpeg
62,https://www.cnn.com/2025/05/09/economy/china-tariff-trump-trade,"Trump, in a major concession, says the tariff on China should be 80% — but will leave it up to Bessent",CNN,"May 9, 2025","Trump said China must import more US goods, and in return, he believes the United States should lower its 145% tariff on most Chinese goods to 80%.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885e13c4d50aa64a50532e30b46bb6e46c389a6b622b42c4ee2.jpeg
63,https://abcnews.go.com/Business/companies-raising-prices-response-trumps-tariffs/story?id=120900637,These companies said they will raise prices in response to Trump's tariffs,ABC News,"May 15, 2025","Plans for price hikes have already taken shape at an array of companies, ranging from fast-fashion retailer Shein to luxury sports car manufacturer Ferrari.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08852b47e1a5b597b588e215cdb09cd29e223eaedfdb9be42ec6.jpeg
64,https://www.theguardian.com/us-news/2025/may/17/trump-liberation-day-tariff-walk-back,Gone in 40 days: how Trump’s ‘liberation day’ tariff assault unraveled,The Guardian,"May 17, 2025","The impact of those six chaotic weeks, from higher prices to slowing growth, is still unfolding – and the US president is already threatening further...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08859df10e797d111688b88db6721c7acd645bbbe676fd25c638.jpeg
65,https://www.cbsnews.com/news/trump-tariffs-inflation-rate-economy/,"Many companies plan to pass tariff costs on to consumers, economic data shows",CBS News,"May 8, 2025","76% of Texas manufacturers said they plan to pass tariff-related costs to consumers, while 50% say they will absorb costs internally.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08851f97545001951da60446b9f823c3bc77a4e8f6b37aefa8d7.jpeg
66,https://www.cnn.com/2025/05/23/economy/trump-threatens-tariff-apple,Trump threatens 25% tariff on Apple and says Samsung and other tech companies could be next,CNN,"May 23, 2025",Despite lowering his tariff to at least 30% on most Chinese goods — down from 145% earlier this month — a 10% universal tariff remains on the majority of goods...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885d7a809089242956ddfe5c6176a2de13e79c5c40c1b607998.jpeg
67,https://www.politico.eu/article/donald-trump-tariff-deal-send-europe-back-line/,Trump’s tariff deals send Europe to the back of the line,POLITICO.eu,"May 12, 2025","Trump imposed a 10 percent baseline tariff in early April, along with 25 percent levies on cars and metals. If the two sides fail to reach a deal by early July,...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d088554bf49f60c4f8c2c61ea45d9a26a175fa2d0958bddf2c71c.jpeg
68,https://www.reuters.com/business/media-telecom/us-media-stocks-fall-trump-threatens-100-tariff-foreign-made-films-2025-05-05/,Trump tariff order on movies leaves film industry flummoxed,Reuters,"May 5, 2025",The entertainment industry reacted with alarm and bafflement on Monday after President Donald Trump said he would impose a 100% tariff on all movies produced...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885a86fb0fb92af250420255060a8286dcda8ae80f60965b8a6.jpeg
69,https://www.nbcnews.com/business/business-news/small-businesses-are-swearing-tariff-price-hikes-costing-rcna205395,Some small businesses are swearing off tariff price hikes. It's costing them.,NBC News,"May 26, 2025","Some small businesses are swearing off tariff price hikes. It's costing them. Most expect to charge customers more, but many are making cutbacks and other...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08856f2f34a9df60be0a8dd29f2c14235eb2e1ea67f7469c3a7b.jpeg
70,https://www.theguardian.com/us-news/2025/may/23/donald-trump-threatens-25-percent-tariff-iphones-not-made-in-us,Trump threatens 25% tariff on Apple and Samsung phones not made in US,The Guardian,"May 23, 2025",Trump threatens 25% tariff on Apple and Samsung phones not made in US ... Donald Trump has threatened to impose a 25% tariff on iPhones if they are not made in...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885a0f2a325e1c4da0ca5eb4e5309f9b0d4c1109891886d483f.jpeg
71,https://www.nytimes.com/2025/05/13/business/trump-tariffs-nissan-honda.html,Tariff Misery in Japan: Honda and Nissan Forecast Plunges in Profit,The New York Times,"May 13, 2025","Two of Japan's top automakers issued dire profit forecasts, weighed down by billions of dollars in losses linked to US car tariffs.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885e250dc04ae4fc0275d2ad15d73879bba0379db1eb68c2362.jpeg
72,https://www.nytimes.com/interactive/2025/05/14/business/economy/trump-china-tariffs-import-goods.html,185% Tariffs: How the Trade War Hit One Shipment of T-Shirts,The New York Times,"May 13, 2025",185% Tariffs: How the Trade War Hit One Shipment of T-Shirts ... This is a customs form that companies must file to import goods into the United States. In recent...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08858e742ea4b8b22e46d0c2abe6d4002a1975b9c884ba816884.jpeg
73,https://www.bbc.com/news/live/cedy09wq25qt,Trump says US-China relations 'reset' as markets surge on tariff pause,BBC,"May 12, 2025",US and Chinese officials announced this morning that they would reduce levies on each other's goods for 90 days and start a new round of trade negotiations.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08850d4bcf2acc831d9be5242fcf6c0483444e56deede7c8c073.jpeg
74,https://www.frbsf.org/research-and-insights/publications/economic-letter/2025/05/effects-of-tariffs-on-inflation-and-production-costs,The Effects of Tariffs on Inflation and Production Costs,Federal Reserve Bank of San Francisco,"May 19, 2025",Trade tariffs can potentially affect price inflation for consumption and investment goods. Estimates suggest that the impact on prices for investment goods is...,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08854f14b4d544f942d44e81f4592fb26c79a32e078069495f49.jpeg
75,https://www.reuters.com/world/us-china-tariff-live-updates-bessent-greer-announce-details-constructive-geneva-2025-05-12/,"US-China trade deal as it happened: Tariffs to be lowered for 90 days, US stocks rally",Reuters,"May 12, 2025","The US and China announced a deal Monday to slash the massive tariffs they'd imposed on each other, cheering global markets and sending the S&P 500 and the...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885d62c11851e8681efe851c8ae7623d7a8f942d38df9c4fcb1.jpeg
76,https://www.nytimes.com/2025/05/06/us/politics/trump-deals-tariffs.html,‘We Don’t Have to Sign Deals’: Trump Backs Off Big Promises About Tariffs,The New York Times,"May 6, 2025","'We Don't Have to Sign Deals': Trump Backs Off Big Promises About Tariffs. After weeks of bragging about upcoming trade “deals” with foreign countries,...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08851d02dfb4af7f0a318902b30d26ebce2064c7dce5eb1ccf32.jpeg
77,https://www.bbc.com/news/articles/c4gkvp6438ko,Trump proposes 80% China tariff ahead of trade talks,BBC,"May 9, 2025","US President Donald Trump speaks at a 'celebration of military mothers' in the East Room of the White House in Washington DC, 8 May 2025.",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08858f7ab01e34a6b5cd24b1433315b99883937bc0599f1467c0.jpeg
78,https://www.nbcnews.com/business/consumer/trump-helps-rolls-royce-threatens-higher-tariffs-mattel-toys-trade-war-rcna205660,Trump gives break to Rolls-Royce cars but threatens more tariffs on Mattel toys,NBC News,"May 8, 2025","Trump said he would keep steep tariffs on toymaker Mattel — even if the company moves its overseas production out of China, where it makes around 40% of its...",https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d08857ab29bf080a098c0d1715aa848687f13bba61bc7d1e6bdb4.jpeg
79,https://www.reuters.com/world/china/vietnam-steps-up-talks-with-us-reduce-hefty-tariff-2025-05-17/,Vietnam steps up talks with US to reduce hefty tariff,Reuters,"May 16, 2025",Vietnam and the United States held their first direct ministerial-level negotiations on Friday against the backdrop of an impending US tariff of 46%.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885acbde98a6a9b7afc62ae978849efc36161ad5c5021c81a49.jpeg
80,https://www.cnbc.com/2025/05/23/trump-tariff-apple-iphones-not-made-in-the-us.html,Trump says Apple must pay a 25% tariff on iPhones not made in the U.S.,CNBC,"May 23, 2025",President Donald Trump said in a social media post Friday that Apple will have to pay a tariff of 25% or more for iPhones made outside the United States.,https://serpapi.com/searches/688ca496e22fed71bd6f1a5c/images/93a94d7b976d0885cd86425f6565991c2e4e445c300e931d713f285bab6af231.jpeg
