position,link,title,source,date,snippet,thumbnail
6,https://www.politico.com/news/2025/07/30/all-things-not-good-trump-says-hes-imposing-25-percent-tariff-on-india-00483243,‘ALL THINGS NOT GOOD!’: Trump says he’s imposing 25 percent tariff on India,Politico,1 day ago,"President Donald Trump announced Wednesday he is imposing a 25 percent tariff on India that will go into force at the end of the week, in addition to a...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb1cf104c55dd17b224210a93693ad3bb1a8bba3f61670750b.jpeg
7,https://www.nytimes.com/2025/07/28/business/economy/trump-tariffs-payment.html,"Who Pays for U.S. Tariffs, and Where Does the Money Go?",The New York Times,3 days ago,"Since his return to office, President Trump has set in motion a global trade war, wielding tariffs to try to achieve multiple goals at once: raising federal...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcba2672d7f7b98a48cf151378b7d8ca26e7f804a162b39204d.jpeg
8,https://www.nytimes.com/2025/08/01/business/economy/cambodia-tariffs-trump.html,Cambodia Agrees to a Reduced Tariff and Breathes a Sigh of Relief,The New York Times,6 hours ago,"The United States and Cambodia agreed on Friday to a trade deal that sets a 19 percent tariff on Cambodian goods, easing the concerns of a developing...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb00c670fe00d177363c2c80e061ec35b89a3fa4fce27876bf.jpeg
9,https://www.reuters.com/world/americas/trump-hits-brazil-with-tariffs-sanctions-key-sectors-excluded-2025-07-30/,"Trump hits Brazil with tariffs, sanctions but key sectors excluded",Reuters,1 day ago,"U.S. President Donald Trump on Wednesday slapped a 50% tariff on most Brazilian goods to fight what he has called a ""witch hunt"" against former President...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcba3b7d70df333b18c289fdc0824d5c71eb55cbdc21ef3b4a9.jpeg
10,https://www.theguardian.com/us-news/2025/jul/07/trump-tariffs-japan-south-korea,Trump delays tariff hikes again but announces new rates for some countries,The Guardian,3 weeks ago,"The US president announced countries including Japan, South Korea and South Africa will face tariffs of up to 40% as part of a fresh wave of levies to kick in...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbfa37b05fc73363b1812dec98ccb03b561ea493dacaf523a2.jpeg
11,https://www.nytimes.com/2025/07/22/business/gm-profit-tariffs-trump.html,G.M. Profit Shrinks on Billion-Dollar Tariff Hit,The New York Times,1 week ago,"G.M. Profit Shrinks on Billion-Dollar Tariff Hit. General Motors was the second auto company this week, after Stellantis, to show the toll that President...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbcd3ea1aac44a340820fcfcc0fc53947f02f22a23fd00ccda.jpeg
12,https://www.nbcnews.com/business/business-news/trump-says-will-hit-eu-mexico-30-tariff-rcna218415,Trump says he will hit E.U. and Mexico with 30% tariff,NBC News,3 weeks ago,"In separate letters published on his social media platform, Truth Social, Trump wrote that each country will face a blanket tariff rate of 30% on all goods...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbcd8d955f6120d1aace212eef6197d006a67644c2ca6c3dfc.jpeg
13,https://www.nytimes.com/2025/08/01/business/economy/switzerland-trump-tariffs.html,"Switzerland Is Stunned by 39% U.S. Tariff, Among the Highest in the World",The New York Times,2 hours ago,"Switzerland got a rude awakening on Friday, a national holiday, after President Trump imposed a 39 percent tariff on goods imported from the Alpine country,...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb6ae501858720f644d0cbdcf02e010ef9fd001b47eec5d010.jpeg
14,https://www.aljazeera.com/economy/2025/7/2/trump-announces-deal-to-impose-20-tariff-on-trade-with-vietnam,Trump announces deal to impose 20% tariff on trade with Vietnam,Al Jazeera,1 month ago,"Vietnamese goods will now face a 20 percent tariff, and any transshipments from third countries through Vietnam will face a 40 percent levy, Trump said,...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb87e4f29eb972d42d0d7722f9a2e49c61b2ad7d5a1e8114c2.jpeg
15,https://www.nytimes.com/2025/07/28/world/europe/eu-trade-deal-trump-tariffs.html,Trump and the E.U. Have a Blueprint for a Giant Trade Deal. Is it Good for Europe?,The New York Times,3 days ago,"Both sides hailed the agreement as the biggest ever. But it will come at a cost to the European Union, and many details have yet to be nailed down.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb28e8a9d85dbd5058e3e9e207bf4a81c27df029c930f8d68f.jpeg
16,https://www.cnn.com/2025/07/14/business/europe-us-trade-tariff-wipe-out-intl,EU warns that its trade with the US could be effectively wiped out if Trump follows through on his threat,CNN,2 weeks ago,The European Union has warned that its trade with the United States could be effectively wiped out if Washington makes good on its threat to slap a 30%...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb90be0aac146dcf230b4ad283b59c685606d79d7b2b2a1551.jpeg
17,https://www.theatlantic.com/podcasts/archive/2025/07/david-frum-show-tariffs-trump-doug-irwin/683707/,The David Frum Show: Trump’s Tariff Disaster,The Atlantic,1 day ago,"Doug Irwin, an economics professor at Dartmouth College, on Trump's trade war, the myth of protectionism, and what history teaches us about tariffs.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb3175934517253e5238ec3571bf9a97ed5e94dc7a194409e1.jpeg
18,https://www.cnn.com/2025/07/08/business/trump-copper-tariff,Trump says 50% tariff on copper imports is coming and threatens 200% on pharmaceuticals,CNN,3 weeks ago,Trump says 50% tariff on copper imports is coming and threatens 200% on pharmaceuticals ... President Donald Trump said a 50% tariff on copper will be announced...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbe46cb9804017a6054e60d0fe53ea18f7458f16f6dc3dc17d.jpeg
19,https://www.aljazeera.com/news/2025/7/31/tariff-wars-has-donald-trump-killed-the-wto,Tariff wars: Has Donald Trump killed the WTO?,Al Jazeera,1 day ago,"In the wake of Trump's global trade war, can the World Trade Organization reclaim its role as guardian of free trade?",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbc927346963503be8c664749618dfbddaeb89f3be18cd83f3.jpeg
20,https://www.nytimes.com/2025/07/31/world/americas/trump-brazil-tariffs-lula.html,Here Is What to Know About Trump’s 50% Tariffs on Brazil,The New York Times,14 hours ago,Latin America's biggest economy can weather the shock of a high tariff rate. But American coffee lovers and Brazilian ranchers are likely to feel the pain.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbeab8519b402d6bd093ffb04d56bc24886d6f29bdde632656.jpeg
21,https://www.bbc.com/news/articles/czxpvl9krxwo,Tariffs: Trump announces deal to impose 15% levy on South Korea,BBC,1 day ago,The agreement comes just a day before a 1 August deadline for countries to strike deals with the US.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbb42f5c23bd26e04c93580fc6cb3e36a174672b142c427220.jpeg
22,https://www.cnn.com/2025/07/12/business/trump-tariff-mexico-european-union,Trump announces tariffs of 30% on Mexico and the European Union,CNN,3 weeks ago,"In his letters to the EU and Mexico, Trump said that all imports were subject to the 30% tariff, excluding “Sectoral Tariffs,” such as the 25% auto tariff.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb16d5539d50fe39f211837dfc0a1970a06f2383eef35eaeb9.jpeg
23,https://www.bbc.com/news/articles/cr5rm7v5166o,How much cash is the US raising from tariffs?,BBC,1 day ago,"The US is seeing increased tariffs income, but there are signs of some countries diverting trade elsewhere.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb3af4d5eea47d033df7babfe9477914e8e41cfde419dcb5b3.jpeg
24,https://www.axios.com/2025/07/31/trump-tariffs-rates-global-10-percent,"Trump says global baseline tariff rates will stay at 10%, Canada goes to 35%",Axios,6 hours ago,"President Trump on Thursday confirmed imports from most countries will face a tariff rate of 10%, while raising levies on Canada to 35% and lowering rates...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbba5d079b124d7e33ffaa8e20eda214b43a044769f54cddfc.jpeg
25,https://www.reuters.com/business/us-treasury-chief-sees-100-countries-getting-10-reciprocal-tariff-2025-07-03/,"Trump eyes simple tariff rates over complex talks, says letters going out Friday",Reuters,1 month ago,President Donald Trump said Washington will start sending letters to countries on Friday specifying what tariff rates they will face on imports to the United...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb2267e621c99dfd99f5389f7185e7d5ad5d2298ed2007e91f.jpeg
26,https://finance.yahoo.com/news/trump-talks-with-canada-india-and-brazil-in-a-stalemate-as-his-tariff-deadline-looms-142522353.html,"Trump talks with Canada, India, and Brazil in a stalemate as his tariff deadline looms",Yahoo Finance,14 hours ago,"Canada, India, and Brazil have all seen their tariff talks go sideways as President Trump's trade deadline approaches Friday.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb7dabc3b8e5964eec046ee3609d2b19d000de183fe8249a22.jpeg
27,https://www.reuters.com/business/trump-issues-blitz-tariff-announcements-copper-brazil-south-korea-small-value-2025-07-30/,"Trump issues blitz of tariff announcements on copper, Brazil, South Korea, small-value imports",Reuters,1 day ago,"U.S. President Donald Trump on Wednesday issued a blitz of tariff announcements ranging from changes to previously threatened levies on imports of copper,...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbf66591906c9946fa71b6e035b478646015ffa3541da723d2.jpeg
28,https://www.cnbc.com/2025/07/21/us-doubles-down-on-aug-1-tariffs-deadline-as-eu-battles-for-a-deal.html,U.S. plays hardball on tariffs deadline as EU battles for a deal,CNBC,1 week ago,"Last Friday, the Financial Times reported that Trump was pushing for a minimum tariff of 15% to 20% on EU imports in any deal with the bloc. The president was...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb6ad8e1fc569eb85c0211006252ab89a13f1de30c6c1e69f7.jpeg
29,https://www.nbcnews.com/business/economy/trump-sets-tariff-levels-reshapes-economy-rcna222387,Trump sets high tariffs as he reshapes economy,NBC News,3 hours ago,President Donald Trump on Thursday formalized the array of tariff levels and trade deals he's announced in recent weeks.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcba0392c4386a93598d8fb5c236c922dc5e30085117e1c8c9c.jpeg
30,https://www.reuters.com/world/europe/switzerland-is-assessing-higher-us-tariff-pushing-negotiated-solution-2025-08-01/,"Switzerland is assessing higher US tariff, pushing for 'negotiated solution'",Reuters,4 hours ago,Switzerland's government said on Friday it was assessing the situation after the White House announced a higher 39% tariff on Swiss imports to the United...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbc5a4426e919fddde1b7b37b759cfa3ee1782578860d13bd2.jpeg
31,https://www.cnbc.com/2025/07/31/trumps-aug-1-tariff-deadline-those-who-have-and-havent-signed-deal.html,Trump’s tariff deadline is near. Here’s a look at countries that have a deal — and those that don't,CNBC,1 day ago,"Trump's suspension of ""reciprocal"" tariffs will end on Friday, which means the world could face higher tariffs once again. The U.S. has managed to make only...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb1b370812d1c9a68812105a654ee96fc0115713836d282222.jpeg
32,https://www.reuters.com/business/trump-strikes-tariff-deal-with-japan-auto-stocks-surge-2025-07-23/,"Trump strikes tariff deal with Japan, auto stocks surge",Reuters,1 week ago,"Trump strikes tariff deal with Japan, auto stocks surge ... WASHINGTON/TOKYO, July 23 (Reuters) - U.S. President Donald Trump struck a trade deal with Japan that...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb79abfbb53c6d00b972aded38b7c4f62174cdc36217ea6efd.jpeg
33,https://www.businesstimesintl.com/global/us/list-new-tariff-rates-trump-set-us-imports-dozens-countries,The list of new tariff rates Trump set on US imports from dozens of countries,www.businesstimesintl.com,9 hours ago,"US President Donald Trump announced on Thursday new tariffs of up to 41 per cent on goods imported from dozens of countries, again citing emergency...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb330311c05d478ea1827d7c9c11b67db0d7c53c5dcb7c7d1d.jpeg
34,https://www.cnn.com/2025/07/30/business/us-south-korea-trade-deal,Trump announces trade agreement with South Korea ahead of August 1 tariff deadline,CNN,1 day ago,"President Donald Trump announced a new trade deal with South Korea, which calls for 15% tariffs on goods from there.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbc82dd9612f19b00f239182c46add9c193409f89b54c057e0.jpeg
35,https://www.theguardian.com/us-news/2025/jul/29/trump-tariffs-americans-pay-more,"As Trump’s tariff regime becomes clear, Americans may start to foot the bill",The Guardian,2 days ago,"Every company at every stage of the supply chain will try to pass on the cost of US tariffs, as much as possible.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcba026bbc3d55f284bf98aa51b501726f9c11d0abbe18adea1.jpeg
36,https://www.reuters.com/world/us/trump-puts-35-tariff-canada-eyes-15-20-tariffs-others-2025-07-11/,"Trump puts 35% tariff on Canada, eyes 15%-20% tariffs for others",Reuters,3 weeks ago,"The 35% tariff is an increase from the current 25% rate that Trump had assigned to Canada and is a blow to Carney, who was seeking to agree a trade pact with...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbae817c6174657d0d56b33f1fc6c20ee81dd453663eddb92d.jpeg
37,https://www.cnn.com/2025/07/06/economy/reciprocal-tariff-pause-expires,Trump’s ‘reciprocal’ tariff pause is about to expire. Cue the confusion,CNN,4 weeks ago,"As the tariffs went into effect on April 9, they sparked a sell-off on Wall Street and the bond market rebelled, forcing Trump to announce a three-month pause...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbbd4355f6145aa012516968c4833f7f504ef6f86f4af031a6.jpeg
38,https://www.nbcnews.com/politics/donald-trump/trump-tariffs-inflation-hasbro-ukraine-patriot-missiles-nato-russia-rcna218125,Trump readies blanket tariffs as he brushes off inflation worries,NBC News,3 weeks ago,"President Donald Trump said Thursday he plans to impose blanket tariffs of 15% or 20% on most trade partners, dismissing concerns that further tariffs could...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb6a5b8e53e118919c3f2810522e4e1e86e1777f5a99559139.jpeg
39,https://www.nytimes.com/2025/07/10/us/politics/trump-canada-tariffs.html,Trump Threatens Higher Tariffs on Canada in the Middle of Trade Talks,The New York Times,3 weeks ago,"As a result, the new 35 percent tariff may not affect all Canadian goods. According to a Trump administration official, the higher tariffs are expected to apply...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb34fe274ff1968e30996a9cfab88b093de2e19e1eebab67d9.jpeg
40,https://www.npr.org/2025/07/31/g-s1-80414/trump-mexico-trade-deal-delay,Trump announces 90-day extension of prior trade deal with Mexico,NPR,20 hours ago,President Trump says he will delay tariffs on Mexico as trade negotiations continue. The announcement comes as countries around the world scramble to...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb625ea34beeb283b1d4de0808cd5dfda2aa2663d47ede4cde.jpeg
41,https://www.cbsnews.com/news/trump-trade-deals-tariffis-deadline/,Trump unveils higher tariffs on dozens of countries,CBS News,11 hours ago,President Trump on Thursday formally announced higher tariffs against more than 60 U.S. trading partners starting next week — just hours before the...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbc7424f8bbc1e35b169050908437e465421bae54d4855bc3f.jpeg
42,https://www.usatoday.com/story/news/politics/2025/07/31/trump-tariffs-trade-negotiations-deadline-updates/85454113007/,Trump gives another country a tariff extension ahead of deadline: Recap,USA Today,7 hours ago,"Trump linked Canada's support for Palestinian statehood, India's purchase of Russian oil and Brazil's prosecution of its former president to tariffs.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb10da6e1301cfd309d13579d12c25dc2e8a7a51e7388e2881.jpeg
43,https://www.reuters.com/world/china/us-china-hold-new-talks-tariff-truce-easing-path-trump-xi-meeting-2025-07-28/,"US, China hold new talks on tariff truce, easing path for Trump-Xi meeting",Reuters,3 days ago,Top U.S. and Chinese economic officials met in Stockholm for more than five hours of talks aimed at resolving longstanding economic disputes at the centre...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbdecdb287eaf457dbc41fc28c99ee9eeb4058963b935a8030.jpeg
44,https://www.nytimes.com/2025/07/31/world/asia/modi-trump-india-tariffs.html,Modi’s ‘True Friend’ Trump Deals India a Big Blow With Tariff Threats,The New York Times,20 hours ago,"India's prime minister has made a big effort to build closer ties using his rapport with the U.S. president, but critics say he is getting little in return.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbe11738bb5c2f2041129b519e17db8d0b0795a3822f20424c.jpeg
45,https://www.newyorker.com/magazine/2025/07/28/donald-trumps-tariff-dealmaker-in-chief,Donald Trump’s Tariff Dealmaker-in-Chief,The New Yorker,1 week ago,"Donald Trump's Tariff Dealmaker-in-Chief. How Howard Lutnick, the Secretary of Commerce, plans to transform government into a money-making enterprise. ... A...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbf8b2590cd5b7e44f55f6ac8e45a6ff423acd04a6b4705711.jpeg
46,https://www.reuters.com/commentary/breakingviews/us-tariff-keeps-india-china-plus-one-now-2025-07-31/,"Breakingviews - US tariff keeps India in China plus one, for now",Reuters,23 hours ago,Donald Trump's decision to impose a 25% duty on imports from India may allow the South Asian country to remain a desirable manufacturing hub.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb0e07c234bfcc97b629aaa98e0b5c463262bf6f2fd347467d.jpeg
47,https://www.reuters.com/business/trump-sets-10-41-reciprocal-tariffs-dozens-countries-exports-2025-07-31/,Trump sets 10% to 41% 'reciprocal' tariffs on dozens of countries' exports,Reuters,11 hours ago,President Donald Trump signed an executive order on Thursday imposing reciprocal tariffs ranging from 10% to 41% on U.S. imports from dozens of countries...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb7b508ae2af20c25deca127e55525e183755d1b510f220bed.jpeg
48,https://time.com/7299006/trump-trade-deals-negotiations-expectations-tariffs-deadline-china-japan-canada/,What to Know About Trump’s ‘Trade Deals’ as Tariff Deadline Approaches,Time Magazine,1 month ago,"The President shocked the world and roiled markets on April 2, which he dubbed “Liberation Day,” when he imposed tariffs of as high as 50% on nearly every...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb6688779837b7c5f0c6f4efaa6d0afa52732cb599ec4f2400.jpeg
49,https://abcnews.go.com/US/trump-announces-30-tariffs-european-union-mexico/story?id=123700107,Trump announces 30% tariffs on European Union and Mexico,ABC News,2 weeks ago,Trump announces 30% tariffs on European Union and MexicoPresident Donald Trump has posted two letters on his social media platform announcing new tariffs on the...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbfeb9ae176717b5e1c2189d1b764b52f6d6a477cf0aa9f262.jpeg
50,https://www.cnet.com/personal-finance/tariff-pricing-tracker-were-watching-11-products-you-might-need-to-buy/,"As Inflation From Trump's Tariffs Looms Large, I'm Watching 11 Key Products for Inflation",CNET,2 days ago,"After spending most of 2025 hovering around $400, this item has now seen some notable upticks on Amazon, most recently sitting around $450, a change that has...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb9d1ef501fb3da467541f6bbd49ea1f5aa0047375f4602e3e.jpeg
51,https://www.reuters.com/business/energy/oil-prices-fall-trumps-aug-1-trade-tariff-deadline-looms-2025-07-31/,Oil prices fall as Trump's Aug 1 trade tariff deadline looms,Reuters,16 hours ago,"Oil prices declined on Thursday as U.S. President Donald Trump's August 1 tariff deadline loomed over investors, with uncertainty surrounding countries yet...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb36a1124319b3ed96dcd039a5a70031204179cb41e9607a78.jpeg
52,https://www.reuters.com/business/us-eu-avert-trade-war-with-15-tariff-deal-2025-07-28/,US and EU avert trade war with 15% tariff deal,Reuters,4 days ago,"TURNBERRY, Scotland, July 27 (Reuters) - The U.S. struck a framework trade agreement with the European Union on Sunday, imposing a 15% import tariff on most...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb3eea8a2bc8fa60b72bbac70c2a81fdbfe29ef9ee9f22fa20.jpeg
53,https://www.reuters.com/world/asia-pacific/trump-says-us-will-set-15-tariff-south-korean-imports-under-new-deal-2025-07-31/,Trump says US will set 15% tariff on South Korean imports under new deal,Reuters,1 day ago,South Korea also agreed to invest $350 billion in the United States in projects selected by Trump and to purchase energy products worth $100 billion.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb3da40564be4d900986a8b4b7ac6e2cd6a29f098ea9f5321b.jpeg
54,https://www.kiplinger.com/taxes/whats-happening-with-trump-tariffs,What’s Happening With Trump Tariffs? New Deals and Rates to Know,Kiplinger,3 days ago,"April 9, 2025: Higher ""reciprocal"" tariff rates for many countries were set to take effect, according to the White House. But the Trump administration says this...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbbf08075dd9b1bce63e2ae8103643340758548391187aa8eb.jpeg
55,https://www.aljazeera.com/news/2025/8/1/whos-included-in-trumps-latest-round-of-adjusted-tariffs,Which countries are included in Trump’s latest round of adjusted tariffs?,Al Jazeera,8 hours ago,"US President Donald Trump set the following rates by region in his executive order on Thursday, titled “Further Modifying the Reciprocal Tariff Rates”:.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbbeb7bf69388795941b78d1e72b80104410393f6c0087b094.jpeg
56,https://www.piie.com/blogs/realtime-economics/2025/trump-tariffs-and-courts-round-2,Trump tariffs and the courts: Round 2,Peterson Institute for International Economics,20 hours ago,The Federal Circuit Court heard oral arguments today on whether the US president can declare a national emergency and put tariffs on pretty much everything...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb8a5048d9311c130e192cbcaab84f41844ff8876cc3d59172.jpeg
57,https://www.reuters.com/business/trump-increases-tariff-canada-35-white-house-says-2025-07-31/,"Trump increases tariff on Canada to 35%, White House says",Reuters,12 hours ago,"U.S. President Donald Trump signed an executive order on Thursday increasing tariffs on Canadian goods to 35% from 25%, the White House said.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbc5998647eb311866fee6a71cc703373cfe6d14e592350d19.jpeg
58,https://www.politico.com/news/2025/07/31/trump-extends-tariff-deadline-on-mexico-for-at-least-90-days-to-allow-more-talks-00486673,Trump extends Mexico tariff deadline for 90 days,Politico,18 hours ago,President Donald Trump on Thursday announced a 90-day extension of his tariff deadline for Mexico to allow more time for negotiations on a longer-term trade...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb572f418db0c1b5f73eb927d1bc64767ae958d2b52288017f.jpeg
59,https://www.cnbc.com/2025/07/08/trump-tariffs-copper-trade.html,Trump says he will impose 50% tariff on copper imports,CNBC,3 weeks ago,Trump says he will impose 50% tariff on copper imports · President Donald Trump said he will impose a 50% tariff on copper imports and suggested more steep...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb8190b9ffd02bb932f1bdcf6dea72b3f348ad221e7b8bb869.jpeg
60,https://www.theguardian.com/us-news/2025/aug/01/full-list-tariffs-country-rate-donald-trump-executive-order,The full list of Trump’s tariffs – from India to Taiwan,The Guardian,3 hours ago,"US president signs executive order that will impose reciprocal tariffs on dozens of countries in seven days' time, and orders imminent 35% tariffs on...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb080f762155ea1d2e524611261f88f90d647f0cfce2d3decc.jpeg
61,https://www.reuters.com/world/europe/europe-inc-wakes-up-trumps-new-tariff-reality-2025-08-01/,Europe Inc wakes up to Trump's new tariff reality,Reuters,5 hours ago,"As U.S. President Donald Trump's new tariff regime clicks into gear on Friday, producers around Europe are feeling the impact, some holding back shipments,...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbf6d32c84da01fe86d8cafe997fbcd8d2ed3a4b4405dbcd9b.jpeg
62,https://www.cnn.com/2025/07/09/business/tariffs-trump-letters-threat-brics-intl-hnk,Trump promises more tariff letters and warns BRICS of what’s coming,CNN,3 weeks ago,Trump's comments came after he delivered a vague threat on Sunday night to impose an additional 10% tariff on countries “aligning themselves with the Anti-...,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb4cdbe225493b2659372475795fc55aa0291b2aabdf564aad.jpeg
63,https://www.cnbc.com/2025/07/28/trump-world-tariff-trade.html,Trump: Global baseline tariff will likely be 15% to 20%,CNBC,3 days ago,The figures are significant because they represent a major increase from the 10% baseline tariff Trump announced in April of this year.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbacc76ebdcee94a2cb40bc45dd54a21b19065d19a5f9ef680.jpeg
64,https://www.nytimes.com/2025/08/01/business/trump-tariffs-china-transshipment.html,"With New 40% Tariff, Trump Takes Aim at U.S. Dependence on China’s Factories",The New York Times,2 hours ago,President Trump's executive order carved out a special tariff on goods shipped indirectly to the United States by way of other countries.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb593e0478ca74773cfcf7dd08b6dd1532a8cf036b8bf358d1.jpeg
65,https://www.reuters.com/world/asia-pacific/eu-seeks-trade-deal-with-trump-this-month-new-tariff-notices-due-2025-07-09/,"Trump sets 50% US tariffs on copper, Brazilian imports starting in August",Reuters,3 weeks ago,"Trump sets 50% US tariffs on copper, Brazilian imports starting in August ... WASHINGTON/BRUSSELS, July 9 (Reuters) - U.S. President Donald Trump launched his...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb6159c558e96b9db05ea0a61d43b72669bd6dd2faafa8d7a5.jpeg
66,https://www.bbc.com/news/articles/c0j91p8w20vo,Trump's tariffs could deal a blow to India's growth and exports,BBC,1 day ago,The effect on India's GDP is unclear as Trump announced an unspecified penalty in addition to 25% tariffs.,https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb4fa054960afec069049cabed6cee69e33a8b929c34355351.jpeg
67,https://www.cnbc.com/2025/07/31/trump-trade-tariffs-lawsuit-hearing.html,Appeals court skeptical of Trump tariff authority,CNBC,22 hours ago,"Trump's reciprocal tariffs and trafficking-related duties were previously struck down by a federal trade court, but that decision was put on pause.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbbf70e1c8c97bdec8213e32752c05a663f376daaf7bff99e1.jpeg
68,https://www.aljazeera.com/economy/2025/7/21/as-trumps-tariff-deadline-looms-economists-see-calm-before-the-storm,"As Trump’s tariff deadline looms, economists see calm before the storm",Al Jazeera,1 week ago,"On Friday, the Financial Times reported that Trump was pushing for a tariff of 15-20 percent on the European Union, which is the US's single largest trading...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcb834784dfb21d67373f3f89bff7230d7360bccb61fe1db8fc.jpeg
69,https://abcnews.go.com/US/ahead-friday-deadline-appeals-court-lawfulness-trumps-sweeping/story?id=124244809,Appeals court judges voice skepticism about legal basis for Trump's sweeping tariffs,ABC News,14 hours ago,"Ahead of President Trump's Aug. 1 deadline for the resumption of reciprocal tariffs, a court is hearing arguments over whether Trump's sweeping tariffs are...",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbb9df7523843f934ea59458ed2150dc6a9c37d78744ee4567.jpeg
70,https://www.bbc.com/news/articles/cvgp5q4x4nzo,"EU-US tariff deal not finished yet, say Europeans unhappy with Trump's terms",BBC,19 hours ago,"Discrepancies between the two sides' version of the deal have emerged, and key details of the agreement are yet to be negotiated.",https://serpapi.com/searches/688ca41069819dddad4deaa5/images/c16739a5a448afcbadf3c6ef2423690ad6b8f54c56d87699dda539535d5df883.jpeg
